Airport1,Airport2,TotalReservations,Distance
KBZN,KSFO,3,806.69
KAPF,KDAL,3,1016.27
KBZN,KDAL,3,1172.16
KDAL,KLEX,3,775.96
KCMH,KFLL,3,975.03
KBZN,KHPN,3,1889.17
KBCT,KHPN,3,1078.66
KBDL,KBZN,3,1915.84
KBHM,KPBI,3,619.57
KBOS,KBZN,3,1985.63
KSUA,KTEB,3,1007.44
KTEB,KTEB,2,0.0
KBED,KSRQ,2,1218.93
KBPT,KPHL,2,1261.67
KBTR,KDTS,2,278.74
KBOS,KSLC,2,2099.92
KBOS,KSUA,2,1170.32
KBOS,KTEB,2,189.26
KBOS,KLGA,2,184.24
KBOS,KOPF,2,1252.63
KBOS,KPHL,2,279.57
KBOS,KCHS,2,818.68
KBNA,KPBI,2,758.6
KBNA,KTEB,2,755.48
KBNA,KBZN,2,1432.62
KBJC,KSNA,2,825.35
KBHM,KSDF,2,323.56
KBHM,KJWN,2,181.11
KBHM,KMGM,2,89.73
KBHM,KPIA,2,516.56
KVRB,MYNN,2,257.05
KTPA,MYAM,2,349.61
KTPA,MYNN,2,373.18
KTUL,KUGN,2,606.7
KTEB,TJSJ,2,1620.46
KTEB,MYAM,2,1005.77
CYUL,KTEB,2,319.64
KAGS,KIAD,2,459.92
KALN,KJVY,2,235.29
KBDR,KIAD,2,275.58
KBED,KBUF,2,379.12
KBCT,KTEB,2,1057.98
KCRQ,KSDL,2,311.67
KCPS,KMSN,2,318.59
KCRG,KFTY,2,295.92
KCRG,KPBI,2,266.69
KCOS,KIAH,2,809.1
KCLE,KPBI,2,1022.39
KCID,KPWK,2,196.22
KCHO,KTEB,2,299.76
KCHO,KIAG,2,344.29
KBZN,KSNA,2,908.36
KBZN,KTEB,2,1877.97
KBZN,KLAS,2,701.59
KBZN,KNUQ,2,805.35
KBWI,KPBI,2,885.54
KBUR,KSAC,2,345.19
KBUF,KBWI,2,281.4
KBUF,KHPN,2,288.49
11R,KDAL,2,183.63
KAPF,KMDW,2,1132.41
KAPF,KMIA,2,95.51
KAPF,KHPN,2,1128.96
KAPF,KMCO,2,159.91
KAPF,KFOK,2,1142.04
KMCO,KOPF,2,185.41
KLUK,KSLC,2,1458.51
KLUK,KSTL,2,320.84
KLIT,KRDU,2,761.24
KLIT,KMAF,2,606.93
KLAX,KRNO,2,391.22
KLAX,KRIL,2,705.33
KLAS,KVNY,2,228.58
KLAS,MMPR,2,1220.65
KLAL,KRDU,2,577.04
KLAS,KPHL,2,2171.37
KLAF,KPWK,2,127.82
KJAC,KLUK,2,1393.79
KINT,KVNC,2,639.55
KILN,KPBI,2,905.99
KILN,KTTN,2,479.64
KIAD,KRDU,2,224.26
KIAD,KMIA,2,923.47
KMSN,KSDL,2,1381.92
KMRY,KTRM,2,380.72
KAPF,KCMH,2,958.75
KAPF,KAPF,2,0.0
KAPF,KBED,2,1274.03
KAPF,KBHM,2,592.39
KAPA,KVNY,2,838.62
KAPA,KMSP,2,697.99
KMRY,KSDL,2,597.27
KMMU,KSOP,2,469.91
KMMU,KSRQ,2,1035.44
KMMU,KSUA,2,997.32
KMKC,KSTL,2,228.4
KMIA,KPHL,2,1015.36
KMIA,KRIL,2,1845.44
KMIA,KSUS,2,1074.0
KMHT,KTEB,2,197.32
KMIA,KOXC,2,1158.05
KMDW,KSUX,2,444.4
KMDW,KPDK,2,577.92
KMDW,KSDL,2,1429.72
KMCO,KSUS,2,887.34
KMCO,KTPA,2,80.87
KAPF,KPIA,2,1100.57
KIAD,KMMU,2,206.0
KIAD,KOCF,2,728.11
KIAD,KICT,2,1084.57
KIAD,KMCO,2,759.47
KIAD,KIAD,2,0.0
KASE,KBTR,2,1071.85
KASE,KHPN,2,1745.53
KAPF,KSUS,2,1006.33
KAPF,KTEB,2,1107.37
KAPF,KSTL,2,1003.1
KHVN,KPBI,2,1087.77
KHWD,KLAS,2,400.27
KHPN,TQPF,2,1701.05
KHPN,KRIL,2,1784.6
KHPN,KIAD,2,246.71
KHPN,KJZI,2,674.22
KHOU,KSTL,2,688.36
KHOU,MYGF,2,1031.91
KHOT,KRSW,2,868.92
KHOU,KHVN,2,1487.19
KHOU,KISM,2,841.36
KHOU,KNEW,2,315.75
KHOU,KPBI,2,946.37
KHOU,KSAT,2,191.91
KAUS,KHHR,2,1234.95
KAUS,KHOU,2,148.21
KASE,KSUA,2,1741.37
KASN,KPBI,2,593.91
KASE,KSGR,2,919.53
KGSO,KMIA,2,712.37
KGSP,KROA,2,209.42
KGPI,KVNY,2,998.36
KGRR,KOFP,2,555.69
KGON,KPBI,2,1110.83
KGJT,KHPN,2,1833.01
KGJT,KTEB,2,1816.69
KFXE,KPHL,2,986.61
KFXE,KSRQ,2,168.71
KFXE,KHPN,2,1091.77
KFRG,KIAD,2,247.44
KFRG,MBPV,2,1311.43
KFLL,KHPN,2,1099.61
KFLL,KPDK,2,593.58
KFHB,KORL,2,142.98
KFAR,KOMA,2,390.81
KFAT,KSFO,2,157.37
KAUS,KTEB,2,1511.06
KAUS,KTEX,2,793.26
KAUS,KVNY,2,1246.06
KEVV,KEYW,2,991.41
KELP,KSDL,2,345.25
KEKM,KMSL,2,489.66
KELP,KLAS,2,582.91
KEGE,KLNK,2,541.8
KECP,KJAX,2,244.9
KDWH,KMBT,2,666.1
KDWH,KOKC,2,387.09
KDTS,KMSY,2,227.91
KDTS,KPDK,2,271.62
KDSM,KJZI,2,966.88
KDFW,KMIA,2,1119.79
KDFW,KORD,2,801.74
KDAL,MMSL,2,1050.18
KDAL,MYNN,2,1287.47
KDAL,KSGR,2,233.64
KDAL,KSLC,2,998.38
KDAL,KSWO,2,229.48
KDAL,KLIT,2,295.77
KDAL,KMCO,2,971.9
KDAL,KMSO,2,1328.53
KDAL,KHPN,2,1392.76
07FA,KLUK,2,981.95
CYYZ,KMDW,2,432.19
KADS,KBEH,2,850.66
KPSM,KRYY,2,970.52
KPSP,MMSD,2,844.47
KPVD,KSUA,2,1121.14
KPDK,KSUA,2,522.28
KPDK,KTEB,2,739.67
KPBI,KTPA,2,174.23
KPBI,KUES,2,1219.33
KPBI,MYAM,2,186.38
KPBI,KSDF,2,858.92
KPBI,KSDL,2,1951.92
KPBI,KSRQ,2,159.1
KPBI,KPBI,2,0.0
KPBI,KPDK,2,556.6
KPBI,KPHL,2,953.04
KPBI,KPIE,2,180.2
KPBI,KPWK,2,1154.05
KPBI,KRSW,2,103.01
KOSU,KPBI,2,941.27
KOPF,MYNN,2,185.37
KOKC,KTME,2,398.6
KNUQ,KRNO,2,189.56
KOAK,KTRK,2,157.7
KMVY,KPHL,2,264.37
KMTJ,KVNY,2,659.6
KMSY,MBPV,2,1252.02
KDAL,KLAS,2,1064.54
KSRQ,KTEB,2,1047.63
KSLC,KTEB,2,1966.81
KSLC,KVNY,2,577.59
KSJC,KSLC,2,583.44
KSTS,KVNY,2,382.15
KSFO,KTEB,2,2562.51
KSFO,KTUS,2,750.61
KSFO,MMSL,2,1253.5
KSEZ,KVGT,2,213.38
KSDL,KVNY,2,379.36
KSDL,KSGR,2,994.19
KSDL,KSLC,2,495.11
KSBA,KSFO,2,262.11
KSDF,KTPA,2,728.52
KSAF,KTEB,2,1765.14
KSAN,KSDL,2,311.38
KRNO,KSNA,2,415.91
KRIC,KTEB,2,289.58
KPWK,KSUA,2,1119.09
KBFI,KSTS,2,623.8
KBED,KPBI,2,1198.65
KTEB,MDCY,1,1512.81
07FA,KAPF,1,109.5
07FA,KDAL,1,1125.76
07FA,KFTY,1,637.23
07FA,KOCF,1,291.47
07FA,KSJC,1,2571.33
07FA,KYIP,1,1183.32
1A5,KMSY,1,537.3
38XS,KIAH,1,290.34
38XS,KSTL,1,948.59
3J1,KPBI,1,405.28
CYHU,MYLS,1,1519.15
CYLW,KSUN,1,506.37
CYLW,LIML,1,5162.36
CYQB,KBVY,1,291.64
CYQB,KIAD,1,622.53
CYQB,KJFK,1,441.35
CYVR,KBFI,1,121.9
CYVR,KBOS,1,2506.66
CYVR,KHPN,1,2430.34
CYVR,KMSP,1,1431.96
CYVR,KOAK,1,794.19
CYVR,KSDL,1,1221.18
CYVR,KTEB,1,2422.07
CYWG,KSNA,1,1534.98
CYYC,KHGR,1,1903.99
CYYT,EINN,1,1940.24
CYYT,KHPN,1,1125.51
KABQ,MMSD,1,842.39
KABY,KHOU,1,671.67
KABY,KTEB,1,855.21
KACK,KBOS,1,90.85
KACY,KAPF,1,1009.0
KACY,KBCT,1,958.4
KACY,KDFW,1,1327.84
KACY,KSAV,1,627.56
FA54,KCHS,1,438.16
FA54,KMKE,1,1156.31
FA54,KSGR,1,837.48
KABE,KMIA,1,1063.63
KABQ,KCCR,1,880.63
KABQ,KSAF,1,49.51
KABQ,KVNY,1,677.58
KABQ,MMPR,1,995.52
EBLG,VIDP,1,3937.11
EDDM,KTEB,1,4029.57
EINN,LIML,1,960.26
F45,KCHS,1,418.35
F70,KCQF,1,1721.38
F70,KMYL,1,783.67
F70,KSGU,1,314.34
FA54,KBXM,1,1362.97
KSNA,PHOG,1,2509.62
KSNL,KTEB,1,1296.35
KSNY,KSTS,1,1065.18
KSQI,KTUS,1,1344.36
KSQI,KUES,1,115.92
KSRQ,KTMB,1,178.26
CYYZ,KMSP,1,676.66
EBLG,KDSM,1,4425.85
KBKL,KMSL,1,567.78
KBKS,KCLT,1,1153.37
KBKS,KSDL,1,932.43
KBLI,KEGE,1,995.7
KBLI,KVNY,1,1028.73
KBLM,KMEM,1,935.9
KBLM,KSUA,1,963.86
KBNA,KBRD,1,808.08
KBJC,KHPN,1,1643.55
KBJC,KLAS,1,606.59
KBJC,KMDW,1,915.19
KBJC,KMIA,1,1730.35
KBJC,KOBE,1,1639.03
KBJC,KSDL,1,574.09
KBJC,MMGM,1,889.02
KBJC,MMSD,1,1188.63
KBIL,KLAS,1,754.8
KBIL,KSJC,1,902.85
KBIV,KPIE,1,1042.69
KBIV,KTEB,1,633.59
KBJC,KCMH,1,1174.11
KBJC,KDAL,1,669.9
KBJC,KFLL,1,1724.71
KBJC,KFRG,1,1662.04
KBHM,KHDN,1,1222.23
KBHM,KIND,1,425.91
KBHM,KISM,1,481.54
KBHM,KLAS,1,1614.49
KBHM,KMDW,1,570.7
KBHM,KPSP,1,1704.52
KBHM,KSLC,1,1469.44
KBIE,KFWA,1,607.39
KBOS,KHPN,1,165.59
KBOS,KMIA,1,1260.06
KBOS,KPIT,1,494.88
KBOS,KRSW,1,1250.89
KBOS,KSNA,1,2586.35
KBOS,KVRB,1,1145.52
KBOS,MRLB,1,2364.16
KBOS,TQPF,1,1733.32
KBNA,KTMB,1,812.6
KBNA,KTPA,1,612.97
KBNA,KTYR,1,562.03
KBNA,MYAM,1,871.86
KBOS,KBOS,1,0.0
KBOS,KBUF,1,394.41
KBOS,KCRW,1,621.04
KBOS,KFTY,1,942.59
KBNA,KJAX,1,483.96
KBNA,KLGA,1,762.85
KBNA,KMDD,1,925.51
KBNA,KMIA,1,807.31
KBNA,KORL,1,609.33
KBNA,KPIE,1,613.78
KBNA,KRSW,1,723.11
KBNA,KSRQ,1,649.78
KBNA,KBXM,1,1032.86
KBNA,KCHA,1,111.95
KBNA,KDEN,1,1011.36
KBNA,KEGE,1,1127.48
KBNA,KERV,1,833.68
KBNA,KESN,1,610.15
KBNA,KHPN,1,778.15
KBNA,KIAD,1,541.1
KBFI,KPBI,1,2688.55
KBFI,KPDX,1,134.87
KBFI,KPOC,1,957.69
KBFI,KPSP,1,993.41
KBFI,KRNO,1,569.16
KBFI,KSAF,1,1170.14
KBFI,KSLC,1,690.93
KBFI,KSLN,1,1373.3
KBEH,KPDK,1,581.74
KBFI,KBWI,1,2328.37
KBFI,KCMH,1,2010.77
KBFI,KDWA,1,618.85
KBFI,KDWH,1,1862.58
KBFI,KGRB,1,1639.91
KBFI,KHIO,1,140.78
KBFI,KLGB,1,971.7
KBED,KOPF,1,1252.58
KBED,KPDK,1,921.26
KBED,KSLC,1,2084.37
KBED,KTPA,1,1183.2
KBED,MBPV,1,1431.1
KBED,MDCY,1,1605.57
KBED,MYNN,1,1254.63
KBED,TQPF,1,1744.87
KBPT,KMSY,1,225.16
KBRD,KRSW,1,1531.11
KBRO,KBTR,1,498.01
KBRO,KDFW,1,483.61
KBRO,KHOU,1,289.82
KBED,KGJT,1,1945.68
KBED,KJFK,1,180.44
KBED,KMDW,1,843.65
KBWG,KEFD,1,715.71
KBWI,KGSO,1,277.77
KBWI,KRDU,1,255.72
KBWI,KRIL,1,1651.31
KBWI,KSLC,1,1860.03
KBWI,MYNN,1,977.86
KBYG,KMKC,1,722.0
KBZN,KEWR,1,1877.06
KBUR,KOAK,1,325.26
KBUR,KPHX,1,368.12
KBUR,KSAN,1,121.73
KBUR,KTRM,1,132.18
KBVX,KTPA,1,756.19
KBVY,KHPN,1,177.86
KBVY,KPBI,1,1214.46
KBVY,MBPV,1,1439.99
KBUF,KMIA,1,1187.89
KBUF,KPBI,1,1125.9
KBUF,KPIT,1,186.09
KBUF,KRSW,1,1146.15
KBUF,KSLC,1,1706.04
KBUR,KDAL,1,1240.1
KBUR,KDEN,1,848.88
KBUR,KLAS,1,222.89
KBFI,KTEB,1,2394.24
KBTR,KECP,1,319.13
KBTR,KFTW,1,397.92
KBTR,KSBA,1,1688.07
KBTR,MYNN,1,917.62
KBTV,KPBI,1,1288.31
KBUF,KFSD,1,905.57
KBUF,KJAC,1,1600.8
KCEU,KDAB,1,394.32
KCEU,KJVY,1,300.35
KCEU,KNEW,1,525.2
KCGF,KFLL,1,1073.17
KCGF,KMKY,1,1075.81
KCHA,KECP,1,324.98
KCHA,KFXE,1,679.75
KCHA,KORL,1,502.6
KBZN,MMTL,1,2214.76
KBZN,MYAT,1,2268.12
KCAE,KGGE,1,112.22
KCAE,KGVL,1,156.77
KCAE,KORL,1,372.86
KCCR,KSDL,1,643.11
KCEF,KJFK,1,125.24
KCEU,KCLT,1,115.9
KBZN,KPWK,1,1179.44
KBZN,KPWT,1,563.03
KBZN,KSBA,1,907.64
KBZN,KSGR,1,1395.87
KBZN,KSJC,1,803.87
KBZN,KSUA,1,2123.37
KBZN,KTPA,1,1985.24
KBZN,KVNY,1,887.74
KBZN,KGOO,1,675.05
KBZN,KGVL,1,1637.95
KBZN,KHOU,1,1406.9
KBZN,KMEM,1,1331.73
KBZN,KMSO,1,160.79
KBZN,KOAK,1,795.8
KBZN,KPDK,1,1633.36
KBZN,KPSM,1,1977.35
KCHS,MYNN,1,564.85
KCHS,TVSA,1,1810.77
KCIC,KCLT,1,2244.93
KCLE,KDAL,1,1013.75
KCLE,KNEW,1,908.38
KCLE,KORL,1,889.3
KCLE,MYNN,1,1158.74
KCLL,KFLL,1,1033.09
KCHS,KPIE,1,379.08
KCHS,KSDL,1,1834.67
KCHS,KSPA,1,177.47
KCHS,KTEB,1,640.74
KCHS,KUKF,1,237.47
KCHS,MDLR,1,1213.24
KCHS,MMPR,1,1762.64
KCHS,MMSD,1,1923.38
KCHS,KCLT,1,168.19
KCHS,KCMH,1,515.34
KCHS,KICT,1,1032.69
KCHS,KISM,1,329.09
KCHS,KJWN,1,450.74
KCHS,KLIT,1,710.34
KCHS,KMCO,1,317.87
KCHS,KMTH,1,567.97
KCHA,KSUA,1,617.26
KCHN,KTEB,1,1022.97
KCHO,KCVG,1,341.41
KCHO,KLUK,1,328.76
KCHO,KMCO,1,690.8
KCHO,KRDU,1,157.38
KCHO,KSLC,1,1786.73
KCHO,KSLN,1,1037.78
KCMH,KMKC,1,625.75
KCMH,KMYR,1,488.28
KCMH,KPBI,1,933.82
KCMH,KPIT,1,144.34
KCMH,KPLN,1,397.02
KCMH,KRIC,1,346.02
KCMH,KRSW,1,932.36
KCMH,KSDL,1,1656.39
KCLT,KVBT,1,747.37
KCMA,KCOU,1,1520.14
KCMA,KPSP,1,150.53
KCMH,KCRE,1,485.31
KCMH,KDWH,1,990.2
KCMH,KHCR,1,1498.9
KCMH,KMCO,1,804.33
KCMH,KMDW,1,282.31
KCLT,KJAC,1,1681.72
KCLT,KJZI,1,181.88
KCLT,KLEX,1,281.43
KCLT,KNEW,1,637.34
KCLT,KOCF,1,424.05
KCLT,KORD,1,599.2
KCLT,KPDK,1,212.02
KCLT,KTMB,1,661.67
KCLL,KLAS,1,1146.84
KCLL,KRIL,1,890.01
KCLL,KSGR,1,78.94
KCLT,KCMH,1,347.17
KCLT,KEGE,1,1451.85
KCLT,KHCR,1,1693.39
KCLT,KHPN,1,563.88
KCLT,KIAD,1,321.72
KCRQ,KSBM,1,1741.69
KCRQ,KSLC,1,604.55
KCRQ,KTMB,1,2265.44
KCRQ,KTWF,1,663.91
KCRQ,MMPR,1,1133.38
KCRQ,TJSJ,1,3312.81
KCSV,KJZI,1,366.66
KCXO,KSNA,1,1332.56
KCRG,KMSP,1,1189.13
KCRG,KOKC,1,995.33
KCRQ,KFMN,1,569.85
KCRQ,KHCR,1,602.1
KCRQ,KMMH,1,322.79
KCRQ,KMSY,1,1601.04
KCRQ,KOAK,1,421.9
KCRQ,KRNO,1,461.41
KCOE,KSDL,1,1010.48
KCON,KPOU,1,163.15
KCOS,KDSM,1,611.96
KCOU,KSTL,1,99.63
KCPP,KTPA,1,390.14
KCPP,MYAM,1,608.69
KCQF,KPDK,1,315.25
KCRG,KESN,1,661.72
KCMH,KSNY,1,1055.31
KCMH,KSRQ,1,870.92
KCMH,KTUS,1,1650.45
KCMI,KLUK,1,215.44
KCNI,KPBI,1,586.5
KCNU,KTXK,1,303.06
KCNY,KSMO,1,583.85
KCOD,KFCM,1,763.91
KBCT,MYAM,1,187.2
KBCT,MYNN,1,188.69
KBDL,KBIV,1,687.07
KBDL,KBNA,1,850.27
KBDL,KBTV,1,176.6
KBDL,KCXU,1,977.91
KBDL,KRIC,1,392.98
KBDN,KPSP,1,752.39
KBCT,KMMU,1,1048.24
KBCT,KORD,1,1165.05
KBCT,KPTK,1,1140.79
KBCT,KPWK,1,1173.54
KBCT,KSRQ,1,166.34
KBCT,KSUN,1,2245.68
KBCT,KTPA,1,185.47
KBCT,KTTN,1,1007.22
KDAL,KDSM,1,625.28
KDAL,KEGE,1,730.66
KBCT,KIAD,1,881.87
KBCT,KISM,1,155.24
KBCT,KJWN,1,786.31
KBCT,KLAS,1,2162.85
KBCT,KLIT,1,922.15
KBCT,KMCO,1,159.71
KCXO,MYAM,1,1143.52
KCXU,KHGR,1,691.4
KCYS,KRST,1,654.27
KDAB,KJQF,1,429.4
KDAB,KMTO,1,821.53
KDAB,KSUT,1,372.28
KDAB,KTEB,1,897.54
KDAB,MMUN,1,669.38
KDAY,KSRQ,1,869.4
KDBQ,KRNO,1,1522.1
KDBQ,MMPR,1,1722.26
KDCA,KHPN,1,233.48
KDCA,KPBI,1,859.19
KDEN,KHDN,1,140.98
KDEN,KSLC,1,389.94
KDFW,KIAD,1,1169.55
KDAL,KTME,1,217.5
KDAL,MMPR,1,986.64
KDAL,MMSD,1,1030.42
KDAL,TJSJ,1,2152.43
KDAL,TNCM,1,2326.45
KDAY,KFDY,1,81.96
KDAY,KFTY,1,423.46
KDAY,KPWK,1,245.35
KDAL,KLAX,1,1243.58
KDAL,KMDD,1,311.2
KDAL,KMRY,1,1438.5
KDAL,KOPF,1,1105.2
KDAL,KPBI,1,1089.75
KDAL,KPDK,1,727.21
KDAL,KSBA,1,1324.21
KDAL,KSDL,1,871.21
KBDR,KCHS,1,686.14
KBDR,KMIA,1,1138.21
KBDR,KMTH,1,1223.78
KBDR,KRDU,1,476.25
KBED,KCHS,1,815.27
KDAL,KFLL,1,1106.61
KDAL,KGUC,1,688.15
KDAL,KHOU,1,239.85
KEAU,KMKY,1,1413.47
KECP,KHDC,1,275.59
KECP,KIND,1,647.28
KECP,KRSW,1,360.48
KECP,KSBN,1,784.75
KECP,KSHV,1,494.92
KECP,KSUS,1,636.63
KECP,KTMB,1,461.33
KDTS,KITH,1,1002.16
KDTS,KMLU,1,358.88
KDTS,KSRQ,1,314.99
KDTW,KFXE,1,1121.16
KDWA,KSLC,1,546.7
KDWH,KECP,1,582.79
KDWH,KVNY,1,1369.13
KDZB,KEGE,1,793.35
KDSM,KIAD,1,871.7
KDSM,KMDW,1,305.54
KDSM,KMEM,1,490.94
KDSM,KPBI,1,1283.12
KDSM,KPTK,1,530.56
KDTO,KLAF,1,754.35
KDTO,KSLC,1,967.43
KDTS,KGSP,1,397.01
KDFW,KPSC,1,1486.48
KDIJ,KTEB,1,1887.16
KDPA,KHXD,1,787.18
KDPA,KMCO,1,1009.44
KDPA,KRSW,1,1124.05
KDPA,KSRQ,1,1052.94
KDRO,KSAT,1,750.38
KDRO,KTUL,1,660.39
KELP,KJAC,1,849.12
KELP,KMIA,1,1628.69
KELP,KRIL,1,538.7
KELP,KSAN,1,634.68
KELP,KSNA,1,679.84
KELP,MMSL,1,649.8
KELP,T82,1,455.02
KENW,KSDL,1,1437.0
KEGE,KSTL,1,886.88
KEGE,KTKI,1,726.71
KEGE,KTMB,1,1808.31
KEGE,KTPA,1,1607.53
KEGE,KVNY,1,740.44
KEGE,MWCR,1,2069.32
KEKM,KMSP,1,423.45
KEKM,KTUL,1,653.18
KEGE,KPBI,1,1780.85
KEGE,KPWA,1,581.03
KEGE,KRIC,1,1598.28
KEGE,KRVS,1,645.77
KEGE,KSDL,1,499.48
KEGE,KSFO,1,844.96
KEGE,KSNA,1,732.94
KEGE,KSPI,1,914.52
KECP,KUIN,1,728.64
KEGE,KEUG,1,891.79
KEGE,KFRG,1,1759.26
KEGE,KIAD,1,1568.72
KEGE,KLUK,1,1199.12
KEGE,KMIA,1,1808.87
KEGE,KMKC,1,658.57
KEGE,KOMA,1,590.14
KAVL,KSGR,1,862.07
KAVP,KCHS,1,629.54
KAVP,KSLN,1,1169.65
KAVQ,KISM,1,1792.49
KAVQ,KLAS,1,338.77
KBCT,KBNA,1,776.72
KBCT,KBOS,1,1218.51
KBCT,KBWI,1,906.29
KAUS,KSUN,1,1295.48
KAUS,KTUS,1,795.35
KAUS,MMCZ,1,945.68
KAUS,MMSD,1,888.1
KAUS,MMSL,1,907.61
KAUS,MYAM,1,1275.4
KAVL,KJZI,1,238.38
KAVL,KPBI,1,621.81
KAUS,KMRY,1,1458.18
KAUS,KOKC,1,359.22
KAUS,KPGA,1,918.19
KAUS,KRIL,1,859.58
KAUS,KSAF,1,615.13
KAUS,KSGR,1,126.9
KAUS,KSLC,1,1085.29
KAUS,KSRQ,1,934.69
KEQY,KHPN,1,562.01
KERI,KSRQ,1,1023.68
KERI,KTMB,1,1135.7
KERI,KTPA,1,983.75
KERV,KSDL,1,793.46
KESN,KSJC,1,2469.63
KEUG,KLAS,1,699.5
KEUG,KVNY,1,729.92
KFCM,KSDL,1,1249.82
KFCM,KUGN,1,325.17
KFDY,KSRQ,1,942.96
KFFC,KLAL,1,400.83
KFHB,KFTW,1,946.03
KFHB,KSDF,1,576.38
KFLG,KJAC,1,587.12
KFLG,KSLC,1,390.61
KEYW,KSDF,1,969.43
KEYW,KTEB,1,1210.25
KFAR,KMDW,1,570.65
KFAT,KSAN,1,314.05
KFCI,KIAD,1,106.52
KFCI,KISM,1,669.41
KFCI,KTYS,1,375.26
KFCI,KVQQ,1,555.76
KEWR,MBPV,1,1311.88
KEWR,MDCY,1,1503.21
KEWR,MYNN,1,1098.12
KEYW,KGSH,1,1195.2
KEYW,KMTJ,1,1806.07
KEYW,KPBI,1,179.85
KEYW,KPHL,1,1123.91
KEYW,KPWK,1,1262.99
KBCT,KBZN,1,2168.1
KBCT,KCHS,1,450.53
KBCT,KDAB,1,202.09
KEWB,KSJC,1,2693.42
KEWN,KPBI,1,607.19
KEWR,KFTY,1,742.42
KEWR,KMIA,1,1087.62
KEWR,KOPF,1,1080.01
KFSD,KSTL,1,470.22
KFTW,KSDL,1,842.03
KFTW,KSGR,1,242.82
KFTW,KSJC,1,1419.56
KFTW,MMSD,1,1005.88
KFTY,KHOU,1,693.16
KFTY,KMIA,1,606.99
KFTY,KOLV,1,311.4
KFNL,KJAX,1,1475.36
KFNT,KMHV,1,1911.27
KFOK,KOPF,1,1121.19
KFRG,KFRG,1,0.0
KFRG,KFXE,1,1076.07
KFRG,KMIA,1,1104.73
KFRG,KPSP,1,2392.0
KFRG,TQPF,1,1673.42
KFLL,TNCM,1,1222.51
KFMN,KHDE,1,544.05
KFMY,KJAX,1,270.19
KFMY,KLEX,1,807.11
KFMY,KOKC,1,1110.92
KFMY,KRME,1,1206.01
KFMY,KTCL,1,573.03
KFNL,KGJT,1,207.97
KFLL,KGSP,1,621.95
KFLL,KIAD,1,903.2
KFLL,KMDW,1,1168.74
KFLL,KOMA,1,1383.47
KFLL,KORF,1,782.92
KFLL,KPVD,1,1189.84
KFLL,KTXK,1,972.97
KFLL,MYAF,1,174.93
KGJT,KICT,1,608.89
KGJT,KSAN,1,655.0
KGJT,KVNY,1,647.6
KGON,KTEB,1,110.09
KGOO,KHWD,1,123.94
KGPI,KHND,1,853.62
KGPI,KLAS,1,846.25
KGPI,KPTK,1,1532.34
KFXE,KTEB,1,1071.09
KFXE,KTRI,1,722.23
KFXE,MBPV,1,584.8
KFXE,MWCR,1,483.0
KFXE,MYNN,1,186.53
KFXE,TUPJ,1,1132.06
KFYJ,KTMB,1,848.15
KGJT,KHOU,1,997.69
KFXE,KGRB,1,1339.16
KFXE,KGSO,1,684.43
KFXE,KJQF,1,635.79
KFXE,KLAL,1,168.01
KFXE,KMQS,1,983.96
KFXE,KPDK,1,585.11
KFXE,KRIC,1,798.89
KFXE,KSDL,1,1960.41
KFTY,KPGD,1,497.38
KFTY,KPIE,1,419.9
